local,codigo,poder_de_compra
Macedo de Cavaleiros,11E0405,0
Miranda do Douro,11E0406,0
Mirandela,11E0407,1
Mogadouro,11E0408,0
Vila Flor,11E0410,0
Vimioso,11E0411,0
Vinhais,11E0412,0
Alcobaça,16B1001,1
Alenquer,16B1101,1
Arruda dos Vinhos,16B1102,1
Bombarral,16B1005,1
Cadaval,16B1104,0
Caldas da Rainha,16B1006,1
Lourinhã,16B1108,1
Nazaré,16B1011,1
Óbidos,16B1012,0
Peniche,16B1014,1
Sobral de Monte Agraço,16B1112,1
Torres Vedras,16B1113,1
Águeda,16D0101,1
Albergaria-a-Velha,16D0102,1
Anadia,16D0103,1
Aveiro,16D0105,2
Estarreja,16D0108,1
Ílhavo,16D0110,1
Murtosa,16D0112,0
Oliveira do Bairro,16D0114,1
Ovar,16D0115,1
Sever do Vouga,16D0117,0
Vagos,16D0118,0
Arganil,16E0601,0
Cantanhede,16E0602,1
Coimbra,16E0603,2
Condeixa-a-Nova,16E0604,1
Figueira da Foz,16E0605,1
Góis,16E0606,0
Lousã,16E0607,1
Mealhada,16E0111,1
Mira,16E0608,0
Miranda do Corvo,16E0609,0
Montemor-o-Velho,16E0610,0
Mortágua,16E1808,0
Oliveira do Hospital,16E0611,0
Pampilhosa da Serra,16E0612,0
Penacova,16E0613,0
Penela,16E0614,0
Soure,16E0615,0
Tábua,16E0616,0
Vila Nova de Poiares,16E0617,0
Alvaiázere,16F1002,0
Ansião,16F1003,0
Batalha,16F1004,1
Castanheira de Pêra,16F1007,0
Figueiró dos Vinhos,16F1008,0
Leiria,16F1009,1
Marinha Grande,16F1010,1
Pedrógão Grande,16F1013,0
Pombal,16F1015,1
Porto de Mós,16F1016,1
Aguiar da Beira,16G0901,0
Carregal do Sal,16G1802,0
Castro Daire,16G1803,0
Mangualde,16G1806,1
Nelas,16G1809,0
Oliveira de Frades,16G1810,0
Penalva do Castelo,16G1811,0
Santa Comba Dão,16G1814,0
São Pedro do Sul,16G1816,0
Sátão,16G1817,0
Tondela,16G1821,0
Vila Nova de Paiva,16G1822,0
Viseu,16G1823,1
Vouzela,16G1824,0
Castelo Branco,16H0502,1
Idanha-a-Nova,16H0505,0
Oleiros,16H0506,0
Penamacor,16H0507,0
Proença-a-Nova,16H0508,0
Vila Velha de Ródão,16H0511,0
Abrantes,16I1401,1
Alcanena,16I1402,1
Constância,16I1408,1
Entroncamento,16I1410,1
Ferreira do Zêzere,16I1411,0
Mação,16I1413,0
Ourém,16I1421,1
Sardoal,16I1417,0
Sertã,16I0509,0
Tomar,16I1418,1
Torres Novas,16I1419,1
Vila de Rei,16I0510,0
Vila Nova da Barquinha,16I1420,0
Almeida,16J0902,0
Belmonte,16J0501,0
Celorico da Beira,16J0903,0
Covilhã,16J0503,1
Figueira de Castelo Rodrigo,16J0904,0
Fornos de Algodres,16J0905,0
Fundão,16J0504,0
Gouveia,16J0906,0
Guarda,16J0907,1
Manteigas,16J0908,0
Mêda,16J0909,0
Pinhel,16J0910,0
Sabugal,16J0911,0
Seia,16J0912,0
Trancoso,16J0913,0
Alcochete,1701502,2
Almada,1701503,1
Amadora,1701115,1
Barreiro,1701504,1
Cascais,1701105,2
Lisboa,1701106,2
Loures,1701107,1
Mafra,1701109,1
Moita,1701506,1
Montijo,1701507,1
Odivelas,1701116,1
Oeiras,1701110,2
Palmela,1701508,1
Seixal,1701510,1
Sesimbra,1701511,1
Setúbal,1701512,1
Sintra,1701111,1
Vila Franca de Xira,1701114,1
Alcácer do Sal,1811501,1
Grândola,1811505,1
Odemira,1810211,0
Santiago do Cacém,1811509,1
Sines,1811513,2
Aljustrel,1840201,1
Almodôvar,1840202,0
Alvito,1840203,0
Barrancos,1840204,0
Beja,1840205,1
Castro Verde,1840206,1
Cuba,1840207,0
Ferreira do Alentejo,1840208,0
Mértola,1840209,0
Moura,1840210,0
Ourique,1840212,0
Serpa,1840213,0
Vidigueira,1840214,0
Almeirim,1851403,1
Alpiarça,1851404,0
Azambuja,1851103,2
Benavente,1851405,1
Cartaxo,1851406,1
Chamusca,1851407,0
Coruche,1851409,0
Golegã,1851412,1
Rio Maior,1851414,1
Salvaterra de Magos,1851415,0
Santarém,1851416,1
Alter do Chão,1861201,0
Arronches,1861202,0
Avis,1861203,0
Campo Maior,1861204,1
Castelo de Vide,1861205,0
Crato,1861206,0
Elvas,1861207,1
Fronteira,1861208,0
Gavião,1861209,0
Marvão,1861210,0
Monforte,1861211,0
Nisa,1861212,0
Ponte de Sor,1861213,1
Portalegre,1861214,1
Sousel,1861215,0
Alandroal,1870701,0
Arraiolos,1870702,0
Borba,1870703,0
Estremoz,1870704,1
Évora,1870705,2
Montemor-o-Novo,1870706,1
Mora,1870707,0
Mourão,1870708,0
Portel,1870709,0
Redondo,1870710,0
Reguengos de Monsaraz,1870711,1
Vendas Novas,1870712,1
Viana do Alentejo,1870713,0
Vila Viçosa,1870714,1
Albufeira,1500801,1
Alcoutim,1500802,0
Aljezur,1500803,0
Castro Marim,1500804,0
Faro,1500805,2
Lagoa,1500806,1
Lagos,1500807,1
Loulé,1500808,2
Monchique,1500809,0
Olhão,1500810,1
Portimão,1500811,1
São Brás de Alportel,1500812,1
Silves,1500813,1
Tavira,1500814,1
Vila do Bispo,1500815,0
Vila Real de Santo António,1500816,1
Angra do Heroísmo,2004301,1
Calheta,2004501,0
Corvo,2004901,0
Horta,2004701,1
Lajes das Flores,2004801,1
Lajes do Pico,2004601,0
Madalena,2004602,1
Nordeste,2004202,0
Ponta Delgada,2004203,1
Povoação,2004204,0
Ribeira Grande,2004205,0
Santa Cruz da Graciosa,2004401,0
Santa Cruz das Flores,2004802,1
São Roque do Pico,2004603,0
Velas,2004502,1
Vila da Praia da Vitória,2004302,1
Vila do Porto,2004101,1
Vila Franca do Campo,2004206,0
Câmara de Lobos,3003102,0
Funchal,3003103,2
Machico,3003104,0
Ponta do Sol,3003105,0
Porto Moniz,3003106,0
Porto Santo,3003201,1
Ribeira Brava,3003107,0
Santa Cruz,3003108,0
Santana,3003109,0
São Vicente,3003110,0
