local,codigo,ganho_mensal
Santiago do Cacém,1C11509,1
Sines,1C11513,2
Aljustrel,1C20201,2
Almodôvar,1C20202,0
Alvito,1C20203,1
Barrancos,1C20204,0
Beja,1C20205,1
Castro Verde,1C20206,2
Cuba,1C20207,0
Ferreira do Alentejo,1C20208,1
Mértola,1C20209,0
Moura,1C20210,0
Ourique,1C20212,0
Serpa,1C20213,0
Vidigueira,1C20214,0
Alter do Chão,1C31201,0
Arronches,1C31202,0
Avis,1C31203,1
Campo Maior,1C31204,2
Castelo de Vide,1C31205,0
Crato,1C31206,0
Elvas,1C31207,0
Fronteira,1C31208,0
Gavião,1C31209,1
Marvão,1C31210,0
Monforte,1C31211,1
Nisa,1C31212,0
Ponte de Sor,1C31213,0
Portalegre,1C31214,1
Sousel,1C31215,0
Alandroal,1C40701,0
Arraiolos,1C40702,0
Borba,1C40703,0
Estremoz,1C40704,0
Évora,1C40705,1
Montemor-o-Novo,1C40706,0
Mora,1C40707,0
Mourão,1C40708,0
Portel,1C40709,0
Redondo,1C40710,0
Reguengos de Monsaraz,1C40711,0
Vendas Novas,1C40712,1
Viana do Alentejo,1C40713,0
Vila Viçosa,1C40714,1
Albufeira,1500801,1
Alcoutim,1500802,0
Aljezur,1500803,0
Castro Marim,1500804,0
Faro,1500805,1
Lagoa,1500806,1
Lagos,1500807,1
Loulé,1500808,1
Monchique,1500809,0
Olhão,1500810,0
Portimão,1500811,1
São Brás de Alportel,1500812,0
Silves,1500813,1
Tavira,1500814,0
Vila do Bispo,1500815,0
Vila Real de Santo António,1500816,0
Angra do Heroísmo,2004301,1
Calheta (R.A.A.),2004501,0
Corvo,2004901,1
Horta,2004701,1
Lagoa (R.A.A.),2004201,0
Lajes das Flores,2004801,0
Lajes do Pico,2004601,0
Madalena,2004602,0
Nordeste,2004202,0
Ponta Delgada,2004203,1
Povoação,2004204,0
Ribeira Grande,2004205,0
Santa Cruz da Graciosa,2004401,0
Santa Cruz das Flores,2004802,1
São Roque do Pico,2004603,1
Velas,2004502,0
Vila da Praia da Vitória,2004302,1
Vila do Porto,2004101,1
Vila Franca do Campo,2004206,0
Calheta (R.A.M.),3003101,1
Câmara de Lobos,3003102,0
Funchal,3003103,1
Machico,3003104,1
Ponta do Sol,3003105,0
Porto Moniz,3003106,0
Ribeira Brava,3003107,0
Santa Cruz,3003108,1
Santana,3003109,0
São Vicente,3003110,0
Porto Santo,3003201,1
