local,codigo,Valor mediano das vendas por m2
Baixo Alentejo,1C2,688
Aljustrel,1C20201,619
Almodôvar,1C20202,618
Alvito,1C20203,764
Barrancos,1C20204,0
Beja,1C20205,935
Castro Verde,1C20206,819
Cuba,1C20207,643
Ferreira do Alentejo,1C20208,539
Mértola,1C20209,500
Moura,1C20210,535
Ourique,1C20212,601
Serpa,1C20213,677
Vidigueira,1C20214,576
Alto Alentejo,1C3,590
Alter do Chão,1C31201,456
Arronches,1C31202,616
Avis,1C31203,567
Campo Maior,1C31204,556
Castelo de Vide,1C31205,583
Crato,1C31206,313
Elvas,1C31207,777
Fronteira,1C31208,565
Gavião,1C31209,333
Marvão,1C31210,540
Monforte,1C31211,440
Nisa,1C31212,395
Ponte de Sor,1C31213,812
Portalegre,1C31214,780
Sousel,1C31215,543
Alentejo Central,1C4,1002
Alandroal,1C40701,711
Arraiolos,1C40702,820
Borba,1C40703,657
Estremoz,1C40704,808
Évora,1C40705,1882
Montemor-o-Novo,1C40706,1140
Mora,1C40707,833
Mourão,1C40708,711
Portel,1C40709,509
Redondo,1C40710,692
Reguengos de Monsaraz,1C40711,868
Vendas Novas,1C40712,1308
Viana do Alentejo,1C40713,713
Vila Viçosa,1C40714,588
Algarve,15,2752
Algarve,150,2752
Albufeira,1500801,2941
Albufeira e Olhos de Água,150080106,2989
Ferreiras,150080104,2297
Guia,150080102,3426
Paderne,150080103,1505
Alcoutim,1500802,769
Giões,150080202,0
Martim Longo,150080203,0
União das freguesias de Alcoutim e Pereiro,150080206,0
Vaqueiros,150080205,0
Aljezur,1500803,3059
Aljezur,150080301,3121
Bordeira,150080302,0
Odeceixe,150080303,0
Rogil,150080304,0
Castro Marim,1500804,2078
Altura,150080404,2813
Azinhal,150080401,0
Castro Marim,150080402,2110
Odeleite,150080403,0
Faro,1500805,2504
Montenegro,150080506,2684
Santa Bárbara de Nexe,150080503,3227
União das freguesias de Conceição e Estoi,150080507,1770
União das freguesias de Faro (Sé e São Pedro),150080508,2459
Lagoa,1500806,2762
Ferragudo,150080602,3487
Porches,150080604,3016
União das freguesias de Estômbar e Parchal,150080607,2351
União das freguesias de Lagoa e Carvoeiro,150080608,2822
Lagos,1500807,3452
Luz,150080703,3393
Odiáxere,150080704,2601
São Gonçalo de Lagos,150080708,3540
União das freguesias de Bensafrim e Barão de São João,150080707,0
Loulé,1500808,3333
Almancil,150080801,5478
Alte,150080802,1158
Ameixial,150080803,0
Boliqueime,150080804,2486
Loulé (São Clemente),150080808,2357
Loulé (São Sebastião),150080809,2106
Quarteira,150080805,3720
Salir,150080807,810
"União de freguesias de Querença, Tôr e Benafim",150080812,1609
Monchique,1500809,1250
Alferce,150080901,0
Marmelete,150080902,0
Monchique,150080903,1376
Olhão,1500810,2250
Olhão,150081003,2211
Pechão,150081004,2284
Quelfes,150081005,2160
União das freguesias de Moncarapacho e Fuseta,150081006,2614
Portimão,1500811,2578
Alvor,150081101,2702
Mexilhoeira Grande,150081102,2295
Portimão,150081103,2556
São Brás de Alportel,1500812,1997
São Brás de Alportel,150081201,1997
Silves,1500813,2464
Armação de Pêra,150081303,3140
São Bartolomeu de Messines,150081305,1613
São Marcos da Serra,150081306,1031
Silves,150081307,1986
União das freguesias de Alcantarilha e Pêra,150081309,2734
União das freguesias de Algoz e Tunes,150081310,2070
Tavira,1500814,2853
Cachopo,150081401,0
Santa Catarina da Fonte do Bispo,150081404,0
Santa Luzia,150081408,3323
União das freguesias de Conceição e Cabanas de Tavira,150081410,3055
União das freguesias de Luz de Tavira e Santo Estêvão,150081411,2673
União das freguesias de Tavira (Santa Maria e Santiago),150081412,2708
Vila do Bispo,1500815,3030
Barão de São Miguel,150081501,0
Budens,150081502,3356
Sagres,150081504,0
Vila do Bispo e Raposeira,150081506,2412
Vila Real de Santo António,1500816,2548
Monte Gordo,150081603,2956
Vila Nova de Cacela,150081601,2738
Vila Real de Santo António,150081602,2258
Região Autónoma dos Açores,2,1179
Região Autónoma dos Açores,20,1179
Região Autónoma dos Açores,200,1179
Angra do Heroísmo,2004301,1070
Calheta (R.A.A.),2004501,691
Corvo,2004901,0
Horta,2004701,1069
Lagoa (R.A.A.),2004201,1419
Lajes das Flores,2004801,0
Lajes do Pico,2004601,994
Madalena,2004602,1220
Nordeste,2004202,866
Ponta Delgada,2004203,1667
Povoação,2004204,1164
Ribeira Grande,2004205,849
Santa Cruz da Graciosa,2004401,369
Santa Cruz das Flores,2004802,0
São Roque do Pico,2004603,1116
Velas,2004502,750
Vila da Praia da Vitória,2004302,1046
Vila do Porto,2004101,1188
Vila Franca do Campo,2004206,1154
Região Autónoma da Madeira,3,2395
Região Autónoma da Madeira,30,2395
Região Autónoma da Madeira,300,2395
Calheta (R.A.M.),3003101,1293
Câmara de Lobos,3003102,2237
Funchal,3003103,3061
Funchal (Santa Luzia),300310303,2556
Funchal (Santa Maria Maior),300310304,2057
Funchal (São Pedro),300310308,2624
Funchal (Sé),300310310,3684
Imaculado Coração de Maria,300310301,2344
Monte,300310302,1153
Santo António,300310305,2616
São Gonçalo,300310306,1977
São Martinho,300310307,3700
São Roque,300310309,2167
Machico,3003104,1908
Ponta do Sol,3003105,1429
Porto Moniz,3003106,1028
Ribeira Brava,3003107,1467
Santa Cruz,3003108,2269
Santana,3003109,1023
São Vicente,3003110,1050
Porto Santo,3003201,1873
